"block","animal_ID","lid_TP2","block_label"
"1","1",0.954,"PRE"
"1","1",0.937,"PRE"
"1","1",1.249,"PRE"
"1","1",1.296,"PRE"
"1","1",0.955,"PRE"
"1","1",1.097,"PRE"
"1","1",0.976,"PRE"
"1","1",1.06,"PRE"
"1","1",0.926,"PRE"
"1","1",1.091,"PRE"
"1","1",1.13,"PRE"
"1","1",1.053,"PRE"
"1","1",1.092,"PRE"
"1","1",1.04,"PRE"
"1","1",1.035,"PRE"
"1","1",1.089,"PRE"
"1","1",1.002,"PRE"
"1","1",1.081,"PRE"
"1","1",0.902,"PRE"
"1","1",0.981,"PRE"
"1","1",1.166,"PRE"
"1","1",1.027,"PRE"
"1","1",1.042,"PRE"
"1","1",0.972,"PRE"
"1","1",0.99,"PRE"
"1","1",1.014,"PRE"
"1","1",1.012,"PRE"
"1","1",1.01,"PRE"
"3","1",1.032,"TEST_81_100"
"3","1",1.03,"TEST_81_100"
"3","1",1.034,"TEST_81_100"
"3","1",0.849,"TEST_81_100"
"3","1",1.265,"TEST_81_100"
"3","1",1.156,"TEST_81_100"
"3","1",1.085,"TEST_81_100"
"3","1",1.145,"TEST_81_100"
"3","1",0.97,"TEST_81_100"
"3","1",1.501,"TEST_81_100"
"3","1",1.133,"TEST_81_100"
"3","1",1.492,"TEST_81_100"
"3","1",1.165,"TEST_81_100"
"3","1",0.992,"TEST_81_100"
"3","1",1.019,"TEST_81_100"
"3","1",0.942,"TEST_81_100"
"3","1",1.211,"TEST_81_100"
"4","1",1.013,"TEST_101_120"
"4","1",0.991,"TEST_101_120"
"4","1",1.219,"TEST_101_120"
"4","1",1.051,"TEST_101_120"
"4","1",1.044,"TEST_101_120"
"4","1",1.023,"TEST_101_120"
"4","1",1.004,"TEST_101_120"
"4","1",0.868,"TEST_101_120"
"4","1",1.112,"TEST_101_120"
"4","1",1.049,"TEST_101_120"
"4","1",1.23,"TEST_101_120"
"4","1",1.027,"TEST_101_120"
"4","1",0.933,"TEST_101_120"
