Subject Comment,Subject ID,Subject Name,Study,Examination,Expno,Image Comment
200722A,ZI_M13,13,T1,Localizer,2,
200722A,ZI_M13,13,T1,Fieldmap_1,4,EPI _usethis1.2_22slc_acc1.2_FOV17
200722A,ZI_M13,13,T1,EPI_roomarray (E6),6,EPI _test
200722A,ZI_M13,13,T1,EPI_RS,5,EPI RS
200722A,ZI_M13,13,T1,ADJ_B0MAP_CryoCoil_Mouse (E10),10,
200722A,ZI_M13,13,T1,Fieldmap_2,10,
200722A,ZI_M13,13,T1,EPI_reappraisal,11,EPI paradigma
200722A,ZI_M13,13,T1,EPI_roomarray (E11),11,EPI paradigma
200722A,ZI_M13,13,T1,Fieldmap_3,12,Fieldmap
200722A,ZI_M13,13,T1,ADJ_B0MAP_CryoCoil_Mouse (E12),12,Fieldmap
200722A,ZI_M13,13,T1,TurboRARE3D,9,TurboRARE3D_Awake_biggerFOV
200722B,ZI_M19,19,T1,Localizer (E1),1,
200722B,ZI_M19,19,T1,Fieldmap_1,8,EPI test
200722B,ZI_M19,19,T1,,2,EPI test
200722B,ZI_M19,19,T1,EPI_RS,3,EPI RS
200722B,ZI_M19,19,T1,Fieldmap (E4),4,Fieldmap
200722B,ZI_M19,19,T1,Fieldmap_2,4,Fieldmap
200722B,ZI_M19,19,T1,EPI_reappraisal,5,EPI paradigma
200722B,ZI_M19,19,T1,,5,EPI paradigma
200722B,ZI_M19,19,T1,Fieldmap_3,6,Fieldmap
200722B,ZI_M19,19,T1,Fieldmap (E6),6,Fieldmap
200722B,ZI_M19,19,T1,TurboRARE3D,7,TurboRARE3D_Awake_biggerFOV
200722C,ZI_M18,18,T1,Localizer (E1),1,
200722C,ZI_M18,18,T1,Fieldmap_1,8,EPI test
200722C,ZI_M18,18,T1,EPI test (E2),2,EPI test
200722C,ZI_M18,18,T1,EPI_RS,3,EPI RS
200722C,ZI_M18,18,T1,Fieldmap (E4),4,Fieldmap
200722C,ZI_M18,18,T1,Fieldmap_2,4,Fieldmap
200722C,ZI_M18,18,T1,EPI_reappraisal,5,EPI paradigma
200722C,ZI_M18,18,T1,Fieldmap_3,6,Fieldmap
200722C,ZI_M18,18,T1,Fieldmap (E6),6,Fieldmap
200722C,ZI_M18,18,T1,TurboRARE3D,7,TurboRARE3D_Awake_biggerFOV
200722D,ZI_M25,25,T1,Localizer (E1),1,
200722D,ZI_M25,25,T1,Fieldmap_1,8,EPI test
200722D,ZI_M25,25,T1,EPI test (E2),2,EPI test
200722D,ZI_M25,25,T1,EPI_RS,3,EPI RS
200722D,ZI_M25,25,T1,Fieldmap (E4),4,Fieldmap
200722D,ZI_M25,25,T1,Fieldmap_2,4,Fieldmap
200722D,ZI_M25,25,T1,EPI_reappraisal,5,EPI paradigma
200722D,ZI_M25,25,T1,Fieldmap (E6),6,Fieldmap
200722D,ZI_M25,25,T1,Fieldmap_3,6,Fieldmap
200722D,ZI_M25,25,T1,TurboRARE3D,7,TurboRARE3D_Awake_biggerFOV
200722E,ZI_M12,12,T1,Localizer (E1),1,
200722E,ZI_M12,12,T1,Fieldmap_1,8,EPI test
200722E,ZI_M12,12,T1,EPI test (E2),2,EPI test
